Carimbo de data/hora;Em que ano(s) seu(s) filho(s) está(ão) matriculado(s) no CEMEL?;Há quanto tempo seu(s) filho(s) estuda(m) no CEMEL?;Como você avalia a qualidade do ensino oferecido pelo CEMEL?;Em que grau você percebe o desenvolvimento acadêmico e pessoal do seu filho no CEMEL?;A metodologia pedagógica da escola atende às necessidades do seu filho?;Como você avalia o relacionamento e competência dos professores e coordenação?;Como você avalia a comunicação da escola com as famílias?;Quais canais de comunicação você mais utiliza para se comunicar com a escola?;A frequência de comunicação da escola é:;As informações transmitidas pela escola são claras e objetivas?;Como você avalia as instalações físicas do CEMEL?;Os recursos pedagógicos (materiais, tecnologia, biblioteca) são adequados?;Como você avalia a segurança oferecida pela escola?;Como você avalia o atendimento da secretaria/administrativo?;Quando você tem alguma dúvida ou problema, a escola resolve de forma:;A direção da escola está disponível quando necessário?;Como você avalia o custo-benefício do CEMEL?;Quais são os principais diferenciais que você enxerga no CEMEL?;Em uma escala de 0 a 10, qual a probabilidade de você recomendar o CEMEL para outras famílias?;Qual sua intenção para a rematrícula de 2026?;Quais fatores estão influenciando sua dúvida ou decisão de não renovar?;O que o CEMEL faz de MELHOR na sua opinião?;O que o CEMEL poderia MELHORAR?;Você tem alguma sugestão específica para a escola?;Gostaria de compartilhar mais alguma coisa conosco?
20/08/2025 14:38:13;Educação Infantil - Pré II;Entre 2 a 4 anos;Excelente;Muito acima das expectativas;Atende completamente;Excelente;Excelente;WhatsApp, Agenda escolar;Excessiva;Sempre;Excelente;Muito adequados;Excelente;Excelente;Muito rápida e eficiente;Sempre;Excelente;Qualidade do ensino, Atenção individualizada, Valores e princípios, Infraestrutura, Relacionamento família-escola, Metodologia pedagógica, Tradição e credibilidade, Localização, Atividades extracurriculares;10;Já decidi renovar a matrícula;;O Ensino e a metodologia. ;Não há.;não ;
20/08/2025 14:39:56;Ensino Fundamental - 4º ano;5 anos ou mais;Muito bom;Acima das expectativas;Atende completamente;Muito bom;Muito boa;WhatsApp;Adequada;Sempre;Muito boa;Adequados;Muito boa;Muito bom;Rápida e eficiente;Sempre;Excelente;Qualidade do ensino, Atenção individualizada, Valores e princípios, Infraestrutura, Relacionamento família-escola, Metodologia pedagógica, Tradição e credibilidade, Localização;10;Já decidi renovar a matrícula;;Conciliar educação infantil com princípios ;As aulas de informática, poderiam ter mais conteúdos do que jogos ;Aprimorar o ensino de informática ;
20/08/2025 14:40:04;Ensino Fundamental - 1º ano;Entre 2 a 4 anos;Bom;Dentro das expectativas;É adequada;Bom;Muito boa;WhatsApp, Agenda escolar;Adequada;Sempre;Muito boa;Adequados;Boa;Bom;Rápida e eficiente;Sempre;Excelente;Valores e princípios, Relacionamento família-escola;10;Provavelmente vou renovar;;Eventos aos alunos;Sistema de avaliação;;
20/08/2025 14:42:29;Educação Infantil - Pré I;Entre 2 a 4 anos;Bom;Dentro das expectativas;Precisa de ajustes;Regular;Precisa melhorar;WhatsApp, Agenda escolar, Reuniões presenciais;Insuficiente;Na maioria das vezes;Precisa melhorar;Parcialmente adequados;Muito boa;Precisa melhorar;Adequada;Na maioria das vezes;Muito bom;Valores e princípios, Tradição e credibilidade, Localização;8;Já decidi renovar a matrícula;;O ponto mais forte do CEMEL é o ambiente acolhedor, que motiva as crianças a aprenderem de forma leve e prazerosa;Acredito que o CEMEL poderia melhorar no sentido de oferecer um ensino mais individualizado e manter uma comunicação mais próxima entre professores e pais, principalmente para identificar onde cada criança apresenta maior dificuldade. Por exemplo, no caso do meu filho Matteo, percebemos que ele tem dificuldade em segurar o lápis — algo que foi identificado por profissionais externos (fonoaudióloga, pais e psicóloga), mas não pela escola. Uma comunicação mais clara e eficiente certamente contribuiria muito para o desenvolvimento das crianças.;;
20/08/2025 14:42:47;Ensino Fundamental - 3º ano;Entre 2 a 4 anos;Excelente;Acima das expectativas;Atende completamente;Excelente;Excelente;WhatsApp, Agenda escolar;Adequada;Na maioria das vezes;Muito boa;Adequados;Muito boa;Excelente;Muito rápida e eficiente;Sempre;Excelente;Qualidade do ensino, Valores e princípios, Relacionamento família-escola;10;Já decidi renovar a matrícula;;Ensino ;Não tenho nada em mente ;;
20/08/2025 14:51:18;Ensino Fundamental - 2º ano, Ensino Fundamental - 3º ano;Entre 2 a 4 anos;Muito bom;Dentro das expectativas;Atende completamente;Muito bom;Muito boa;WhatsApp, Agenda escolar, Reuniões presenciais;Adequada;Sempre;Muito boa;Adequados;Muito boa;Muito bom;Rápida e eficiente;Sempre;Muito bom;Qualidade do ensino, Atenção individualizada, Valores e princípios, Tradição e credibilidade, Localização;10;Ainda estou avaliando;Questões financeiras;O ensino é bem avançado e atenção e paciência com as crianças ;Poderia contratar professores mais experientes;Como mencionei a cima poderia contratar professores mais experientes ;Nao
20/08/2025 14:54:16;Ensino Fundamental - 1º ano, Ensino Fundamental - 6º ao 9º ano;5 anos ou mais;Muito bom;Acima das expectativas;Atende parcialmente;Muito bom;Excelente;WhatsApp;Adequada;Sempre;Boa;Adequados;Muito boa;Muito bom;Rápida e eficiente;Sempre;Muito bom;Qualidade do ensino, Atenção individualizada, Valores e princípios, Relacionamento família-escola, Metodologia pedagógica, Tradição e credibilidade;10;Provavelmente vou renovar;;Organização, cuidado, atenção na relação família e escola ;Estrutura física ;Que os professores entreguem todas as atividades devidamente corrigidas no final de cada bimestre, em todas as séries! ;Somente agradecer pelo empenho e dedicação de toda equipe! 
20/08/2025 14:57:36;Educação Infantil - Pré I, Ensino Fundamental - 1º ano;Entre 2 a 4 anos;Excelente;Acima das expectativas;Atende completamente;Excelente;Excelente;WhatsApp;Adequada;Sempre;Muito boa;Adequados;Excelente;Muito bom;Rápida e eficiente;Sempre;Bom;Qualidade do ensino, Atenção individualizada, Valores e princípios, Relacionamento família-escola, Metodologia pedagógica;10;Já decidi renovar a matrícula;;Além do ensino que é muito bom. A escola tem uma ótima comunicação com os pais e tem bastante eventos que nos envolve também.;....;....;....
20/08/2025 15:03:44;Ensino Fundamental - 4º ano;5 anos ou mais;Excelente;Muito acima das expectativas;Atende completamente;Excelente;Excelente;WhatsApp;Excessiva;Sempre;Excelente;Muito adequados;Excelente;Excelente;Muito rápida e eficiente;Sempre;Excelente;Valores e princípios;10;Já decidi renovar a matrícula;;Nada! Já são excelente ;Pegar pesado com as crianças no aprendizado ;Não ;
20/08/2025 15:05:29;Ensino Fundamental - 6º ao 9º ano;5 anos ou mais;Muito bom;Dentro das expectativas;Atende completamente;Muito bom;Excelente;WhatsApp;Adequada;Sempre;Boa;Adequados;Boa;Excelente;Muito rápida e eficiente;Sempre;Muito bom;Atenção individualizada, Valores e princípios, Relacionamento família-escola, Metodologia pedagógica, Localização;10;Ainda estou avaliando;Outro;Atenção individual com o aluno, ensino de forma geral ;Os professores e mais lição de casa para o aluno nao ficar tão disperso.;não.;Somente agradecer por tantos anos de parceira e compreensão com meu filho e família, detalhes de melhoria são poucos, perto do imenso cuidado, atenção e educação que passaram ao longo dos anos. OBRIGADA!
20/08/2025 15:41:05;Ensino Fundamental - 2º ano;Entre 2 a 4 anos;Muito bom;Acima das expectativas;Atende completamente;Muito bom;Excelente;WhatsApp, Agenda escolar, Reuniões presenciais;Adequada;Sempre;Muito boa;Adequados;Muito boa;Muito bom;Rápida e eficiente;Sempre;Bom;Atenção individualizada, Valores e princípios, Relacionamento família-escola, Metodologia pedagógica, Localização, Atividades extracurriculares;10;Já decidi renovar a matrícula;;A relação família + escola, acho a comunicação muito boa, assertiva, o cuidado e atenção com o aluno. A escola conhece não apenas a criança, mas a família, isso traz um pouco mais de segurança.;Estender o horário de buscar a criança a tarde (até as 18h00) / Feirinha - mesmo com o valor do integral enviamos a feirinha semanal;Estender o horário de buscar as crianças até as 18h00.;Não, apenas isso.
20/08/2025 15:43:11;Educação Infantil - Maternal, Educação Infantil - Pré II;Entre 2 a 4 anos;Bom;Dentro das expectativas;Atende parcialmente;Excelente;Excelente;WhatsApp, Agenda escolar;Adequada;Sempre;Regular;Adequados;Precisa melhorar;Muito bom;Rápida e eficiente;Sempre;Bom;Qualidade do ensino, Atenção individualizada, Valores e princípios, Relacionamento família-escola, Metodologia pedagógica, Tradição e credibilidade;8;Já decidi renovar a matrícula;;Gostaria que a escola tivesse aulas de inglês com mais frequência, pois considero fundamental desde os primeiros anos. As aulas de esporte, como o futebol, que foram canceladas, também são muito importantes e deveriam ser mantidas. Tenho uma filha no maternal e sinto falta de atividades esportivas ou de dança para essa faixa etária. Além disso, acredito que algumas datas comemorativas poderiam ser realizadas no fim de semana, para que os pais consigam participar mais ativamente;se destaca pela atenção e proximidade com as crianças e famílias. Conhecem cada aluno pelo nome, sempre atentos aos recados e prontos para resolver qualquer situação quando precisamos. Essa parceria escola e família faz toda a diferença.;Minha sugestão seria investir um pouco mais na estrutura da escola, especialmente no parque e nos itens de segurança. Seria uma melhoria importante para complementar o excelente ensino e atenção que já são oferecidos.;Gostaria que a escola tivesse aulas de inglês com mais frequência, pois considero fundamental desde os primeiros anos. As aulas de esporte, como o futebol, que foram canceladas, também são muito importantes e deveriam ser mantidas. Tenho uma filha no maternal e sinto falta de atividades esportivas ou de dança para essa faixa etária. Além disso, acredito que algumas datas comemorativas poderiam ser realizadas no fim de semana, para que os pais consigam participar mais ativamente.
20/08/2025 15:48:22;Ensino Fundamental - 6º ao 9º ano;5 anos ou mais;Excelente;Dentro das expectativas;É adequada;Regular;Muito boa;WhatsApp, Reuniões presenciais, Telefone;Adequada;Sempre;Muito boa;Parcialmente adequados;Boa;Muito bom;Adequada;Sempre;Excelente;Valores e princípios, Relacionamento família-escola, Tradição e credibilidade, Localização, Atividades extracurriculares;10;Já decidi renovar a matrícula;;Valores morais ;Iluminação nas salas, banheiros ;Banheiros ;
20/08/2025 15:52:06;Ensino Fundamental - 1º ano;5 anos ou mais;Excelente;Dentro das expectativas;Atende completamente;Excelente;Excelente;WhatsApp;Adequada;Sempre;Muito boa;Adequados;Muito boa;Excelente;Rápida e eficiente;Na maioria das vezes;Muito bom;Qualidade do ensino, Valores e princípios, Relacionamento família-escola, Localização;10;Provavelmente vou renovar;;Acho q agente tem uma aproximidade maior com os proficional ,isso é bom q agente consegue sabe melhor do nosso filho ;Não tenho o que dizer não é uma boa escola;As aulas de balé poderia ser mais de balé clássico não só dança ;Nao
20/08/2025 16:24:00;Ensino Fundamental - 6º ao 9º ano;5 anos ou mais;Excelente;Dentro das expectativas;Atende completamente;Excelente;Excelente;WhatsApp, Telefone;Adequada;Sempre;Excelente;Adequados;Excelente;Excelente;Muito rápida e eficiente;Sempre;Muito bom;Qualidade do ensino, Valores e princípios, Infraestrutura, Relacionamento família-escola, Metodologia pedagógica, Tradição e credibilidade;10;Já decidi renovar a matrícula;;Tudo;Nada;;
20/08/2025 16:47:02;Ensino Fundamental - 2º ano;Entre 2 a 4 anos;Muito bom;Dentro das expectativas;Atende completamente;Muito bom;Boa;WhatsApp;Adequada;Sempre;Boa;Adequados;Boa;Bom;Rápida e eficiente;Sempre;Bom;Qualidade do ensino, Infraestrutura, Relacionamento família-escola, Metodologia pedagógica, Localização, Atividades extracurriculares;8;Provavelmente vou renovar;;"Gosto da equipe do Cemel. Professores, coordenadores, colaboradores...enfim, das pessoas que fazem a escola. São atenciosas, cuidadosas, bem preparadas. 

Considero a escola bastante acolhedora e atenta com o que está acontecendo no mundo e no seu entorno.";"Há bolas divididas que podem ser evitadas. A intervenção de religiosos em eventos das crianças é - ao meu ver - desnecessária.  

Quanto mais plural a escola for. Quanto mais distante da religião A, B ou C estiver, melhor será para falar - quando necessário - de todas com isenção e respeito.
";"Criança precisa ter repertório. 

Por isso, nos eventos, poderiam se apresentar ao som de clássicos do cancioneiro popular (outro dia um menino fez uma apresentação incrível de saxofone com a musica ""Como é Grande o meu Amor por Você""). 

As músicas atuais são importantes? Sem dúvidas! Mas essas os pequenos já ouvem na rede social, em casa, no carro, na rua...

";Não, apenas isso. Agradeço pelo cuidado e dedicação com a minha pequena. 
20/08/2025 17:09:38;Ensino Fundamental - 4º ano;Este é o primeiro ano (2025);Bom;Dentro das expectativas;É adequada;Muito bom;Muito boa;WhatsApp, Agenda escolar, Reuniões presenciais;Adequada;Sempre;Boa;Adequados;Muito boa;Muito bom;Adequada;Na maioria das vezes;Muito bom;Qualidade do ensino, Atenção individualizada, Relacionamento família-escola, Atividades extracurriculares;9;Já decidi renovar a matrícula;;Atenção com o aluno, estou gostando bastante do carinho atenção que a escola oferece aos alunos .;Eu gostaria que escola tivesse mais espaço para os alunos fazer aulas de esporte aí na escola mesmo , seria bem legal .;Que fosse em uma estrutura maior e oferecer os curso de esporte aí mesmo na escola , natação por exemplo. ;Poderiam ter aula de matemática particular ? 
20/08/2025 17:33:21;Ensino Fundamental - 1º ano, Ensino Fundamental - 4º ano;Entre 2 a 4 anos;Excelente;Acima das expectativas;Atende completamente;Muito bom;Regular;WhatsApp, Agenda escolar, Reuniões presenciais, Telefone;Adequada;Na maioria das vezes;Muito boa;Adequados;Boa;Excelente;Rápida e eficiente;Sempre;Muito bom;Qualidade do ensino, Valores e princípios, Relacionamento família-escola, Metodologia pedagógica, Tradição e credibilidade, Atividades extracurriculares, Escola com tradição e cultura ;9;Provavelmente vou renovar;;Não só dão o ensinamento de uma escola comum, amo os trabalhos sociais e esses ensinamentos pras crianças, ensinam valores tbm. Acho que deveriam fazer mais esses trabalhos e envolver as crianças tbm com arrecadação de alimentos roupas brinquedos pra eles terem noção da vida;Poderiam se adiantar mais com eventos na escola os recados vem mto em cima. Cantina mais controle com conta ou não ter conta a não ser qndo o responsável ligue na escola autorizando a pegar o alimento ;"Poderia ter uma campanha com a editora que fornece as apostilas pra conseguir descontos com a arrecadação das apostilas antigas pra reciclagens. 
Acho que poderia ter algum psicopedagoga na escola pra ter uma aula específica com as crianças pra ajudar os pais a identificar problemas e até pra ver como anda o emocional das crianças 
";A escola cemel pra mim não é uma empresa e sim uma família que me acolheu com mto carinho. Pretendo ficar com meus filhos aí até o nono ano e depois pretendemos tentar uma Etec.
20/08/2025 18:09:19;Ensino Fundamental - 6º ao 9º ano;Este é o primeiro ano (2025);Excelente;Acima das expectativas;Atende completamente;Muito bom;Excelente;WhatsApp;Adequada;Sempre;Muito boa;Adequados;Muito boa;Excelente;Muito rápida e eficiente;Sempre;Excelente;Qualidade do ensino, Atenção individualizada, Valores e princípios, Infraestrutura, Relacionamento família-escola, Metodologia pedagógica, Tradição e credibilidade, Localização, Atividades extracurriculares;10;Já decidi renovar a matrícula;;Educação sem ideologia ;Infraestrutura ;;
20/08/2025 18:49:50;Educação Infantil - Pré II;Entre 2 a 4 anos;Muito bom;Acima das expectativas;Atende parcialmente;Muito bom;Muito boa;WhatsApp, Telefone;Adequada;Na maioria das vezes;Muito boa;Adequados;Boa;Muito bom;Rápida e eficiente;Sempre;Excelente;Atenção individualizada, Relacionamento família-escola;9;Ainda estou avaliando;Questões financeiras;Transparência, sempre procuram uma forma de ajudar.;Mais atividades extracurriculares ;Mais atividades ;Não 
20/08/2025 18:55:44;Ensino Fundamental - 1º ano, Ensino Fundamental - 6º ao 9º ano;5 anos ou mais;Muito bom;Acima das expectativas;É adequada;Excelente;Excelente;WhatsApp, Agenda escolar, Reuniões presenciais, Telefone, Recados via aluno, Pessoalmente;Adequada;Sempre;Boa;Adequados;Excelente;Excelente;Muito rápida e eficiente;Sempre;Bom;Qualidade do ensino, Atenção individualizada, Valores e princípios, Relacionamento família-escola, Metodologia pedagógica, Tradição e credibilidade, Localização, Atividades extracurriculares;10;Provavelmente vou renovar;;Ser uma escola familiar e de confiança;Quadra. Algum modo de cobrir do lado para os dias de chuva. Estrutura elevada para as apresentações.;Sim. Acima;Não 
20/08/2025 20:13:14;Ensino Fundamental - 4º ano;Entre 2 a 4 anos;Muito bom;Dentro das expectativas;Atende completamente;Bom;Muito boa;WhatsApp, Agenda escolar, Reuniões presenciais;Adequada;Sempre;Boa;Adequados;Muito boa;Bom;Adequada;Na maioria das vezes;Bom;Qualidade do ensino, Relacionamento família-escola, Metodologia pedagógica, Tradição e credibilidade, Atividades extracurriculares;10;Provavelmente vou renovar;;Tem um ensino de qualidade;Infraestrutura e tecnologia ;Troca de equipamentos de informática ;Quero agradecer pelo bom trabalho no desenvolvimento, e carinho com meu filho 
20/08/2025 20:24:56;Ensino Fundamental - 4º ano;Entre 2 a 4 anos;Muito bom;Acima das expectativas;Atende completamente;Excelente;Excelente;WhatsApp, Reuniões presenciais;Adequada;Sempre;Boa;Adequados;Muito boa;Muito bom;Rápida e eficiente;Sempre;Muito bom;Qualidade do ensino, Valores e princípios, Relacionamento família-escola, Metodologia pedagógica, Tradição e credibilidade, Localização;10;Provavelmente vou renovar;;Cuidado e atenção com cada aluno ;Melhorar nos custos de materiais e uniforme;;
20/08/2025 23:55:18;Ensino Fundamental - 4º ano;5 anos ou mais;Muito bom;Dentro das expectativas;Atende completamente;Bom;Muito boa;WhatsApp;Adequada;Na maioria das vezes;Muito boa;Adequados;Muito boa;Muito bom;Adequada;Na maioria das vezes;Muito bom;Qualidade do ensino, Atenção individualizada, Valores e princípios, Relacionamento família-escola;9;Já decidi renovar a matrícula;;O contato da família com a escola e direção ;Atendimento para os pais com a secretária ;;
21/08/2025 11:10:19;Ensino Fundamental - 2º ano;Entre 2 a 4 anos;Excelente;Acima das expectativas;Atende completamente;Bom;Excelente;WhatsApp, Agenda escolar, Reuniões presenciais, Telefone;Adequada;Sempre;Muito boa;Adequados;Boa;Muito bom;Muito rápida e eficiente;Sempre;Bom;Qualidade do ensino, Valores e princípios, Relacionamento família-escola, Atividades extracurriculares;9;Já decidi renovar a matrícula;;Comunicação, ensino e atenção.;Nos eventos, contar com alguém atuando como “segurança/porteiro” faz toda a diferença. No evento do Dia das Mães, havia um senhor na entrada nos auxiliando e isso me trouxe mais segurança e conforto, por saber que havia alguém cuidando do acesso.;"Tecnologias educacionais: implementar recursos como robótica e programação para ampliar as oportunidades de aprendizado.

Segurança: contar com um controlador de acesso na entrada principal.

Comunicação com os pais: disponibilizar um aplicativo que permita interação entre pais e docentes (ex.: Remind, TalkingPoints, SchoolStatus, Schoology, Dyknow Classroom).

Transparência: se possível, liberar o acesso à câmera da sala de aula do aluno.";"Esse ano tenho percebido que a Isabelly está mais distraída nos estudos e conversando bastante em sala, algo que em anos anteriores não víamos com tanta frequência. Já estamos tomando algumas providências em casa para tentar reduzir essas distrações, mas não sei dizer se, antes, os outros professores tinham uma forma diferente de lidar com ela. Também percebo que a professora atual tem encontrado certa dificuldade em prender a atenção dela, e que as lições de casa não têm vindo com regularidade. Quando chegam, muitas vezes nós, pais, temos dificuldade em ajudar, pois se tratam de conteúdos vistos em aula, sem uma indicação clara no livro para servir de referência.

De resto, vocês continuam sendo nota 1.000.000! O Thiagão, então, dispensa comentários: sempre atencioso, chamando os pais pelo nome e criando proximidade com as famílias. Esse cuidado faz toda a diferença."
21/08/2025 12:15:09;Educação Infantil - Maternal, Educação Infantil - Pré I;Este é o primeiro ano (2025);Precisa melhorar;Dentro das expectativas;Precisa de ajustes;Muito bom;Precisa melhorar;Agenda escolar;Adequada;Na maioria das vezes;Muito boa;Parcialmente adequados;Boa;Excelente;Adequada;Sempre;Regular;Infraestrutura;5;Já decidi não renovar;Insatisfação com o ensino, Problemas de comunicação, Busca por escola com metodologia diferente;O que mais me agrada na Cemel é a estrutura da escola! ;A comunicação diária, desde o começo do ano nunca recebi fotos/vídeos das minhas crianças em atividades, nem fotos do passeio no Animalia Park não recebi. Não tem um grupo de WhatsApp da sala para partirmos remotamente do dia a dia das crianças. ;Repensar o calendário escolar, pq emendar feriados é um terror para os pais que não tem essa opção. E as oficinas fora do horário de aula inviabiliza a participação dos alunos. ;
21/08/2025 16:07:22;Ensino Fundamental - 6º ao 9º ano;5 anos ou mais;Regular;Dentro das expectativas;Atende parcialmente;Regular;Regular;WhatsApp;Adequada;Raramente;Regular;Parcialmente adequados;Regular;Bom;Adequada;Às vezes;Bom;Relacionamento família-escola, ;7;Já decidi não renovar;Insatisfação com o ensino;Gostaria que todas as perguntes fossem dissertativas. Mas por muito tempo achei que o melhor do Cemel era a relação entre família e escola, mas na verdade não é! O foco da escola é inteiramente financeiro.;Relacionamento com os alunos, menos preconceito principalmente por parte da Dona Laurinete em especial com as meninas! Parar com a mania de sexualizar tudo e todos (provavelmente as mães das meninas do Fund I com o tempo tenham a mesma sensação, pq qdo são pequenas tudo é lindo), e claro o ensino, minha filha é uma excelente aluna na Instituição porém em provas externas não se saiu bem pq o conteúdo dado é aquém dos dados em outras escolas particulares. O valor que cobram hoje em uma vaga integral não vale a experiência, se não fosse o Educa mais Brasil com certeza não seria uma opção deixa-lá na escola para termino com as amigas e formatura.;Parar com falso moralismo.;Me decepcionei e entristeci inteiramente com a escola, acredito que não preciso descrever o fatídico evento, e que após pensei pensei e pude enxergar diversos outros momentos que que foram completamente descabidos.  
22/08/2025 22:07:50;Ensino Fundamental - 6º ao 9º ano;Entre 2 a 4 anos;Muito bom;Acima das expectativas;É adequada;Muito bom;Muito boa;WhatsApp, Reuniões presenciais, Telefone, Recados via aluno, Instagram ;Adequada;Sempre;Boa;Adequados;Excelente;Excelente;Muito rápida e eficiente;Sempre;Muito bom;Qualidade do ensino, Atenção individualizada, Valores e princípios, Relacionamento família-escola, Metodologia pedagógica, Tradição e credibilidade, Localização, Atividades extracurriculares;10;Já decidi renovar a matrícula;;Atenção individualizada aos alunos, atividades multidisciplinares e extracurriculares, desenvolvimento e aproveitamento dos alunos por meio dos podcast, apresentação de trabalhos, jornais e etc, o aluno tem voz.;"Infraestrutura dos banheiros, quem sabe a construção de mais banheiros, talvez as trocas por lousas brancas pois ocasiona menos alergias do pó de giz e maior visibilidade.
";Sugestão, construção de novos banheiros onde era a casa que foi demolida.;"Sugestão, ter disponível mais dicionários de inglês, pois na sala de aula a professora disponibiliza apenas dois para toda a classe. Dificultando a realização das atividades.
"
25/08/2025 11:34:01;Ensino Fundamental - 6º ao 9º ano;5 anos ou mais;Muito bom;Abaixo das expectativas;É adequada;Muito bom;Excelente;WhatsApp, Agenda escolar, Reuniões presenciais;Adequada;Sempre;Boa;Adequados;Boa;Muito bom;Rápida e eficiente;Sempre;Bom;Qualidade do ensino, Atenção individualizada, Valores e princípios, Infraestrutura, Relacionamento família-escola, Tradição e credibilidade;10;Ainda estou avaliando;Questões financeiras;Atenção e valorização por cada aluno ;Não tenho nada à pedir ;;
25/08/2025 11:36:23;Ensino Fundamental - 1º ano, Ensino Fundamental - 6º ao 9º ano;5 anos ou mais;Muito bom;Dentro das expectativas;É adequada;Bom;Boa;WhatsApp;Adequada;Sempre;Boa;Adequados;Boa;Bom;Adequada;Sempre;Bom;Qualidade do ensino, Valores e princípios;8;Ainda estou avaliando;Questões financeiras;participacao (conhece o aluno individual) e ensino ;naooo tenho reclamação;nao ;nao 
25/08/2025 11:36:53;Educação Infantil - Maternal, Ensino Fundamental - 2º ano;Entre 2 a 4 anos;Muito bom;Acima das expectativas;Atende completamente;Muito bom;Muito boa;WhatsApp, Agenda escolar;Adequada;Na maioria das vezes;Boa;Adequados;Muito boa;Muito bom;Rápida e eficiente;Sempre;Muito bom;Qualidade do ensino, Atenção individualizada, Valores e princípios, Relacionamento família-escola, Tradição e credibilidade;9;Já decidi renovar a matrícula;;Acolhimento ;Acredito que nada ;Não ;
25/08/2025 11:37:00;Ensino Fundamental - 6º ao 9º ano;5 anos ou mais;Excelente;Dentro das expectativas;Atende completamente;Excelente;Excelente;WhatsApp;Adequada;Sempre;Muito boa;Adequados;Excelente;Muito bom;Rápida e eficiente;Sempre;Muito bom;Qualidade do ensino, Atenção individualizada, Valores e princípios, Metodologia pedagógica, Atividades extracurriculares;10;Já decidi renovar a matrícula;;Sim. ;Salas temáticas.;Está tudo ótimo.;A escola é ótima.
25/08/2025 11:37:37;Ensino Fundamental - 6º ao 9º ano;5 anos ou mais;Muito bom;Dentro das expectativas;Atende parcialmente;Muito bom;Boa;WhatsApp;Adequada;Na maioria das vezes;Precisa melhorar;Adequados;Boa;Muito bom;Adequada;Sempre;Regular;Relacionamento família-escola;10;Provavelmente vou renovar;;As turmas das salas de aula ,tem uma quantidade de alunos pequenas .Isso facilita para que o professor consiga ensinar de forma individual caso o aluno necessite.;As instalações,por exemplo ventiladores nas salas de aula .Pois em época de calor todos sofrem.;As instalações,por exemplo ventiladores nas salas de aula .Pois em época de calor todos sofrem.;
