Carimbo de data/hora;Em que ano(s) seu(s) filho(s) est√°(√£o) matriculado(s) no CEMEL?;H√° quanto tempo seu(s) filho(s) estuda(m) no CEMEL?;Como voc√™ avalia a qualidade do ensino oferecido pelo CEMEL?;Em que grau voc√™ percebe o desenvolvimento acad√™mico e pessoal do seu filho no CEMEL?;A metodologia pedag√≥gica da escola atende √†s necessidades do seu filho?;Como voc√™ avalia o relacionamento e compet√™ncia dos professores e coordena√ß√£o?;Como voc√™ avalia a comunica√ß√£o da escola com as fam√≠lias?;Quais canais de comunica√ß√£o voc√™ mais utiliza para se comunicar com a escola?;A frequ√™ncia de comunica√ß√£o da escola √©:;As informa√ß√µes transmitidas pela escola s√£o claras e objetivas?;Como voc√™ avalia as instala√ß√µes f√≠sicas do CEMEL?;Os recursos pedag√≥gicos (materiais, tecnologia, biblioteca) s√£o adequados?;Como voc√™ avalia a seguran√ßa oferecida pela escola?;Como voc√™ avalia o atendimento da secretaria/administrativo?;Quando voc√™ tem alguma d√∫vida ou problema, a escola resolve de forma:;A dire√ß√£o da escola est√° dispon√≠vel quando necess√°rio?;Como voc√™ avalia o custo-benef√≠cio do CEMEL?;Quais s√£o os principais diferenciais que voc√™ enxerga no CEMEL?;Em uma escala de 0 a 10, qual a probabilidade de voc√™ recomendar o CEMEL para outras fam√≠lias?;Qual sua inten√ß√£o para a rematr√≠cula de 2026?;Quais fatores est√£o influenciando sua d√∫vida ou decis√£o de n√£o renovar?;O que o CEMEL faz de MELHOR na sua opini√£o?;O que o CEMEL poderia MELHORAR?;Voc√™ tem alguma sugest√£o espec√≠fica para a escola?;Gostaria de compartilhar mais alguma coisa conosco?
25/08/2025 11:37:58;Ensino Fundamental - 2º ano;Entre 2 a 4 anos;Muito bom;Dentro das expectativas;Precisa de ajustes;Bom;Boa;WhatsApp, Agenda escolar;Adequada;Na maioria das vezes;Boa;Parcialmente adequados;Boa;Muito bom;Demorada;Na maioria das vezes;Muito bom;Relacionamento família-escola, Tradição e credibilidade, Localização;9;Ainda estou avaliando;Busca por escola com metodologia diferente;A acessibilidade com a direção ;No meu caso adaptação para crianças atípicas , incluindo espaço para avaliações e materiais adaptativos. ;Professores com cursos aba , sabendo lidar com crianças atípicas e reconhecer qd a criança necessita de cuidados diferenciados e atenção necessária . ;Esse ano não estou muito satisfeita , pois pedi por três vezes reunião com a professora e diretor para melhoria do ensino do rafa e fui ignorada. Espero que daqui por diante o diálogo seja mais claro e como o Neuro pediu seja adaptado as necessidades da criança . 
25/08/2025 11:38:19;Ensino Fundamental - 6º ao 9º ano;5 anos ou mais;Excelente;Acima das expectativas;Atende completamente;Excelente;Excelente;WhatsApp;Adequada;Sempre;Muito boa;Muito adequados;Excelente;Muito bom;Rápida e eficiente;Sempre;Excelente;Qualidade do ensino, Atenção individualizada, Valores e princípios, Infraestrutura, Relacionamento família-escola, Metodologia pedagógica, Tradição e credibilidade, Localização, Atividades extracurriculares;10;Já decidi renovar a matrícula;;Tratamento por igual a todos ;Estou satisfeita com a escola no momento atende minhas necessidades ;No momento atende minhas necessidades ;Agradecer pela parceira, e aí de mim se não fosse o Cemel 🤍
25/08/2025 11:39:39;Ensino Fundamental - 6º ao 9º ano;Entre 2 a 4 anos;Regular;Abaixo das expectativas;Precisa de ajustes;Bom;Muito boa;WhatsApp;Adequada;Na maioria das vezes;Boa;Parcialmente adequados;Regular;Muito bom;Rápida e eficiente;Sempre;Bom;Relacionamento família-escola;6;Já decidi não renovar;Mudança de cidade/bairro;Trabalha a igualdade e inclusão ;Podia mandar mais lição de casa e trabalhar melhor os livros que vem no  material didático ;;
25/08/2025 11:39:58;Ensino Fundamental - 3º ano;Este é o primeiro ano (2025);Excelente;Dentro das expectativas;Atende completamente;Excelente;Excelente;WhatsApp;Adequada;Sempre;Excelente;Muito adequados;Excelente;Excelente;Muito rápida e eficiente;Sempre;Excelente;Qualidade do ensino;10;Provavelmente vou renovar;;Estou satisfeita ;Mantendo a qualidade de ensino a prontidão dos professores;Tudo tranquilo;Estou satisfeita 
25/08/2025 11:42:40;Ensino Fundamental - 4º ano;Entre 2 a 4 anos;Muito bom;Dentro das expectativas;Atende completamente;Excelente;Muito boa;WhatsApp;Adequada;Sempre;Muito boa;Adequados;Muito boa;Muito bom;Muito rápida e eficiente;Sempre;Muito bom;Qualidade do ensino, ;10;Provavelmente vou renovar;;Ensinar ;Está ótima ;Não ;Não 
25/08/2025 11:43:03;Ensino Fundamental - 6º ao 9º ano;Este é o primeiro ano (2025);Excelente;Dentro das expectativas;É adequada;Muito bom;Muito boa;WhatsApp;Adequada;Na maioria das vezes;Boa;Adequados;Boa;Muito bom;Rápida e eficiente;Na maioria das vezes;Excelente;Qualidade do ensino, Valores e princípios, Metodologia pedagógica, Localização, Atividades extracurriculares;8;Já decidi renovar a matrícula;;Disponibiliza um bom estudo com atividades ;Na infra e na parte de tecnologia e robótica ;Investir em laboratório de tecnologia e robótica ;
25/08/2025 11:44:14;Educação Infantil - Maternal;Entre 2 a 4 anos;Muito bom;Acima das expectativas;Atende completamente;Excelente;Muito boa;WhatsApp, Agenda escolar;Adequada;Sempre;Muito boa;Adequados;Muito boa;Muito bom;Rápida e eficiente;Sempre;Muito bom;Qualidade do ensino, Valores e princípios, Relacionamento família-escola, Localização;10;Já decidi renovar a matrícula;;Acredito que trabalhos em grupos e exposições do mesmo, faz com que possam desinibir e aprender de uma forma bem legal. ;No meu ponto de vista, não tem algo que precise melhorar. Quando precisei resolver algo foram solícitos e atenderam o que precisava. ;;Só agradecer pela parceria, e dedicação. Esse ano o Bernardo teve um grande avanço em varias habilidades. A tia Michele está fazendo um belo trabalho, o Bernardo me conta sempre como foi a aula, e sabendo que ele está feliz a até sente falta e saudades da escola quando não vai ou está de férias, me deixa com o coração tranquilo em saber que esta tudo indo bem.  
25/08/2025 11:46:44;Ensino Fundamental - 5º ano;Entre 2 a 4 anos;Bom;Dentro das expectativas;É adequada;Muito bom;Muito boa;WhatsApp, Agenda escolar, Reuniões presenciais, Telefone;Adequada;Sempre;Regular;Parcialmente adequados;Boa;Muito bom;Adequada;Sempre;Regular;Valores e princípios, Relacionamento família-escola, Metodologia pedagógica, Tradição e credibilidade;8;Provavelmente vou renovar;;Atividades pedagógicas - atenção que dão para os alunos.;Infraestrutura ;Não ;Agradecer o carinho e atenção que sempre dedicaram ao meu filho.
25/08/2025 11:49:48;Ensino Fundamental - 3º ano;Entre 2 a 4 anos;Muito bom;Dentro das expectativas;Atende parcialmente;Bom;Boa;WhatsApp, Agenda escolar;Adequada;Na maioria das vezes;Muito boa;Adequados;Muito boa;Muito bom;Rápida e eficiente;Sempre;Muito bom;Qualidade do ensino, Valores e princípios, Infraestrutura, Tradição e credibilidade, Localização, Atividades extracurriculares;10;Já decidi renovar a matrícula;;Atividades extras;Comunicação com todos os professores com os pais, não só da professora principal.;;
25/08/2025 11:51:46;Educação Infantil - Maternal, Ensino Fundamental - 2º ano;Entre 2 a 4 anos;Excelente;Muito acima das expectativas;Atende completamente;Excelente;Excelente;WhatsApp;Adequada;Sempre;Muito boa;Muito adequados;Muito boa;Excelente;Muito rápida e eficiente;Sempre;Excelente;Qualidade do ensino, Atenção individualizada, Valores e princípios, Relacionamento família-escola, Metodologia pedagógica, Tradição e credibilidade, Atividades extracurriculares;10;Já decidi renovar a matrícula;;Além do ensino, como tratam nossos filhos, o respeito, a educação, os valores que são passados para nossos filhos, a confiança na administração, na gestão, nos professores;A Infraestrutura quando chove, que tem alguns locais que apresentam goteira ;;Confio  100% na escola
25/08/2025 11:52:41;Ensino Fundamental - 1º ano;Entre 2 a 4 anos;Excelente;Acima das expectativas;Atende completamente;Excelente;Excelente;WhatsApp, Agenda escolar, Reuniões presenciais, Telefone;Adequada;Sempre;Muito boa;Adequados;Excelente;Excelente;Muito rápida e eficiente;Sempre;Excelente;Qualidade do ensino, Atenção individualizada, Valores e princípios, Infraestrutura, Relacionamento família-escola, Metodologia pedagógica, Tradição e credibilidade, Localização, Atividades extracurriculares;10;Já decidi renovar a matrícula;;Gosto de tudo;Ter almoço para as crianças, principalmente para as crianças que participaram das oficinas;Somente a parte de ter almoço, como colocado a cima ;Não 
25/08/2025 11:55:04;Ensino Fundamental - 4º ano;Entre 2 a 4 anos;Muito bom;Dentro das expectativas;É adequada;Bom;Boa;WhatsApp;Adequada;Na maioria das vezes;Precisa melhorar;Adequados;Boa;Regular;Adequada;Sempre;Bom;Qualidade do ensino, Valores e princípios, Relacionamento família-escola, Metodologia pedagógica;10;Já decidi renovar a matrícula;;Acolhimento aos alunos e disciplina, gostei muito no dia do passeio uma senhora (acho que dona da escola) fazer oração com os alunos. ;.;.;.
25/08/2025 11:55:36;Ensino Fundamental - 5º ano;5 anos ou mais;Excelente;Acima das expectativas;Atende completamente;Excelente;Excelente;WhatsApp;Adequada;Sempre;Muito boa;Adequados;Excelente;Excelente;Rápida e eficiente;Sempre;Excelente;Qualidade do ensino, Atenção individualizada, Valores e princípios, Relacionamento família-escola;10;Já decidi renovar a matrícula;;O cuidado pelo alunos e ouvir os pais ;N/-;N/a;N/a
25/08/2025 12:00:20;Ensino Fundamental - 6º ao 9º ano;Entre 2 a 4 anos;Muito bom;Dentro das expectativas;É adequada;Bom;Boa;WhatsApp, Reuniões presenciais;Adequada;Na maioria das vezes;Precisa melhorar;Adequados;Boa;Bom;Adequada;Às vezes;Regular;Valores e princípios, Relacionamento família-escola, Tradição e credibilidade;8;Ainda estou avaliando;Estamos avaliando a penalidade da Minha Filha fazer Curso técnico no Ensino Médio ;No início gostei muito da forma como fazem as avaliações e de como avaliam com cada um com suas habilidades, foi efetivo para minha Filha ;"Nos espaços das salas de aula, na minha opinião são pequenas .
Na segurança ";Apesar de saber que são cuidadosos, fico   um pouco receosa com as portas aberta( normalmente em dia de reunião );No momento não .
25/08/2025 12:05:38;Ensino Fundamental - 5º ano;5 anos ou mais;Excelente;Acima das expectativas;Atende completamente;Excelente;Muito boa;WhatsApp;Adequada;Sempre;Excelente;Adequados;Excelente;Excelente;Muito rápida e eficiente;Sempre;Excelente;Qualidade do ensino, Atenção individualizada, Valores e princípios, Relacionamento família-escola, Localização;10;Provavelmente vou renovar;;"A cultura organizacional da Cemel é muito boa. As crianças têm liberdade nas interações sociais, porém sempre com limites.

Além disso, a disponibilidade da direção para resolução de problemas do dia a dia é realmente um diferencial.";"Disponibilizar o conteúdo transmitido em aula por matéria. Por exemplo: aula de matemática do dia XX/YY: páginas 100, 101 e 102 e folha de exercícios.

A disponibilização deste conteúdo permitiria aos pais saber quais conteúdos a criança perdeu ao faltar em um determinado dia.

Eu imagino que os professores tenham um planejamento do conteúdo a ser passado no dia, então o pedido seria para compartilhar esse planejamento com os pais (poderia criar uma pasta no Google Drive para cada turma e conceder permissão somente aos e-mails dos pais daquela turma, ou algo do tipo).

Se precisar de mais esclarecimentos sobre essa sugestão ou precisar de ajuda para planejar esse compartilhamento de forma segura com os pais, eu posso apoiá-los.";;
25/08/2025 12:08:24;Ensino Fundamental - 5º ano;5 anos ou mais;Regular;Dentro das expectativas;É adequada;Bom;Excelente;WhatsApp;Adequada;Sempre;Boa;Parcialmente adequados;Muito boa;Muito bom;Rápida e eficiente;Sempre;Muito bom;Atenção individualizada, Valores e princípios, Relacionamento família-escola, Localização;10;Já decidi renovar a matrícula;;Interagi totalmente com alunos, principalmente qd tem algo acontecendo.;Armários para os livros,pois a mochila é muito pesada,até mesmo para os pais carregar.;Armários para livros ;
25/08/2025 12:10:07;Educação Infantil - Pré II;Entre 2 a 4 anos;Muito bom;Acima das expectativas;É adequada;Excelente;Excelente;Reuniões presenciais;Adequada;Sempre;Boa;Adequados;Boa;Excelente;Muito rápida e eficiente;Sempre;Muito bom;Qualidade do ensino;8;Provavelmente vou renovar;;Tudo;Portão ;Não ;Nao
25/08/2025 12:17:17;Ensino Fundamental - 3º ano;Entre 2 a 4 anos;Excelente;Muito acima das expectativas;Atende completamente;Excelente;Excelente;WhatsApp;Adequada;Sempre;Muito boa;Muito adequados;Excelente;Excelente;Muito rápida e eficiente;Sempre;Muito bom;Valores e princípios, Relacionamento família-escola;10;Já decidi renovar a matrícula;;Cuidado com as. Crianças ;Para mim a localização, se fizesse uma segunda unidade em Barueri seria perfeito ;;
25/08/2025 12:51:06;Ensino Fundamental - 1º ano, Ensino Fundamental - 4º ano;Entre 2 a 4 anos;Excelente;Dentro das expectativas;Atende completamente;Excelente;Excelente;WhatsApp, Agenda escolar;Adequada;Sempre;Excelente;Muito adequados;Excelente;Excelente;Muito rápida e eficiente;Sempre;Excelente;Qualidade do ensino, Valores e princípios, Relacionamento família-escola, Localização;10;Já decidi renovar a matrícula;;A interação humanizada dos profissionais com os alunos. ;Mais atividades físicas para os alunos .;Aulas de Gestão financeira para crianças, acho que algo muito importante que nossa geração nao teve , e que faz uma diferença enorme na formação de um adulto , e mesmo tendo todo feedback em reuniões dos alunos,  acho que uma vez por mês por meio de agenda ou relatório mesmo que seja simples como está o comportamento na sala ou nas atividades escolares,  para que nós pais possa fazer uma correção mensalmente e ajuda de alguma forma . ;Acho que temos uma relação ótima com a escola , e que juntos vamos conseguir entregas ótimas pessoas para sociedade . 
25/08/2025 13:20:54;Ensino Fundamental - 1º ano, Ensino Fundamental - 6º ao 9º ano;Este é o primeiro ano (2025);Muito bom;Dentro das expectativas;É adequada;Bom;Boa;WhatsApp, Reuniões presenciais, Telefone;Adequada;Na maioria das vezes;Muito boa;Adequados;Boa;Bom;Adequada;Na maioria das vezes;Regular;Relacionamento família-escola;8;Ainda estou avaliando;Questões financeiras;Tem empatia em abraçar  a família  e as crianças  dando  sua melhor  forma  em nos  adequar  ao grupo cemel ;Valores das mensalidades  e descontos;Outras  escolas  quando se tem dois irmãos  de 1 não é  cobrado  rematrícula  ou matrícula  escolar;Sou grata  a toda  assistência  Cemel
25/08/2025 13:22:47;Ensino Fundamental - 1º ano;Este é o primeiro ano (2025);Muito bom;Acima das expectativas;Atende completamente;Muito bom;Excelente;WhatsApp, Agenda escolar, Reuniões presenciais;Adequada;Sempre;Muito boa;Adequados;Muito boa;Muito bom;Rápida e eficiente;Na maioria das vezes;Excelente;Qualidade do ensino, Valores e princípios, Relacionamento família-escola, Metodologia pedagógica, Tradição e credibilidade, Atividades extracurriculares;10;Já decidi renovar a matrícula;;Atenção, cuidado, comunicação, preocupação ;Nenhum sugestão no momento, caso tenha compartilho com vcs;;
25/08/2025 13:24:53;Ensino Fundamental - 6º ao 9º ano;5 anos ou mais;Excelente;Acima das expectativas;Atende completamente;Excelente;Excelente;WhatsApp;Excessiva;Sempre;Muito boa;Adequados;Muito boa;Excelente;Muito rápida e eficiente;Sempre;Excelente;Qualidade do ensino, Atenção individualizada, Relacionamento família-escola, Metodologia pedagógica, Tradição e credibilidade, Localização, Atividades extracurriculares;10;Já decidi renovar a matrícula;;Os trabalhos escolares ;A quadra ;;O Cemel é uma benção nas nossas vidas 
25/08/2025 13:30:37;Educação Infantil - Maternal;Este é o primeiro ano (2025);Muito bom;Acima das expectativas;Atende completamente;Excelente;Excelente;WhatsApp;Adequada;Sempre;Excelente;Adequados;Excelente;Excelente;Rápida e eficiente;Sempre;Excelente;Atenção individualizada, Valores e princípios, Relacionamento família-escola, Tradição e credibilidade;10;Já decidi renovar a matrícula;;Transparência e cuidado ;Como estamos a pouco tempo com nossa filha na escola ainda não temos pontos negativos, somente agradecer pela dedicação e cuidado com ela.;Pelo pouco tempo que nossa filha está na CEMEL até o momento estamos gostando dos cuidados prestados a Heloísa ;
25/08/2025 13:38:19;Ensino Fundamental - 6º ao 9º ano;Meu filho está no último ano antes da formatura;Muito bom;Dentro das expectativas;Atende completamente;Muito bom;Boa;WhatsApp;Adequada;Sempre;Boa;Parcialmente adequados;Boa;Bom;Rápida e eficiente;Sempre;Bom;Atenção individualizada, Valores e princípios, Relacionamento família-escola;9;Ainda estou avaliando;Vai prestar Etec;Ensino ;Pra mim atende muito bem ;;
25/08/2025 13:49:02;Ensino Fundamental - 5º ano;5 anos ou mais;Muito bom;Dentro das expectativas;Atende parcialmente;Excelente;Excelente;WhatsApp, Agenda escolar, Reuniões presenciais;Adequada;Sempre;Muito boa;Adequados;Excelente;Excelente;Rápida e eficiente;Sempre;Muito bom;Qualidade do ensino, Valores e princípios, Relacionamento família-escola;10;Provavelmente vou renovar;;A comunicação com família ;Valores de passeios e lanches ;Ter reforço escolar para quem está com dificuldade em alguma matéria ;Colocar alguém na cozinha ( tia Josy) que trate melhor as crianças, sempre rude, antipática e dificulta o acesso das crianças 
25/08/2025 14:09:33;Educação Infantil - Pré I, Ensino Fundamental - 2º ano;Este é o primeiro ano (2025);Muito bom;Dentro das expectativas;Atende completamente;Excelente;Excelente;WhatsApp, Agenda escolar;Adequada;Sempre;Boa;Adequados;Boa;Muito bom;Rápida e eficiente;Sempre;Bom;Qualidade do ensino, Atenção individualizada, Valores e princípios, Relacionamento família-escola, Metodologia pedagógica, Localização;10;Provavelmente vou renovar;;Cuidam bem das crianças com carinho e atenção. Meus pequenos estão gostando bastante da escola. Eles começaram faz pouco tempo e se adaptaram super rápido. ;Ainda não conheço muito bem toda a estrutura e funcionários da escola, pois meus filhos começaram estudar na CEMEL esse mês de agosto/2025. Se por caso surgir alguma ideia até o final do ano, enviarei uma mensagem pra vocês.;Achei o custo dos uniformes muito elevado. Poderia ser um valor um pouco mais acessível quando se tem 2 filhos matriculados, poderiam fazer um pacote com desconto.;Como meus pequenos começaram faz pouco tempo e eles estão gostando e se adaptaram super bem, pretendo deixá-los estudando na CEMEL nos próximos anos.
25/08/2025 14:13:26;Ensino Fundamental - 4º ano;Entre 2 a 4 anos;Excelente;Acima das expectativas;Atende completamente;Excelente;Excelente;WhatsApp, Agenda escolar, Telefone;Adequada;Sempre;Muito boa;Adequados;Muito boa;Excelente;Rápida e eficiente;Sempre;Muito bom;Qualidade do ensino, Atenção individualizada, Valores e princípios, Infraestrutura, Relacionamento família-escola, Metodologia pedagógica;9;Já decidi renovar a matrícula;;O CEMEL se destaca pelo atendimento acolhedor e humanizado, sempre buscando entender as necessidades das pessoas.;Estou satisfeito com a escola.;;
25/08/2025 14:21:49;Educação Infantil - Maternal, Ensino Fundamental - 2º ano;5 anos ou mais;Excelente;Acima das expectativas;Atende completamente;Muito bom;Boa;WhatsApp, Telefone;Adequada;Na maioria das vezes;Muito boa;Adequados;Muito boa;Muito bom;Rápida e eficiente;Sempre;Bom;Qualidade do ensino, Valores e princípios, Relacionamento família-escola, Metodologia pedagógica;9;Provavelmente vou renovar;;Acho a parte do ensino excelente;Poderia melhorar o valor da mensalidade no periodo integral. Por exemplo, sempre tenho interesse em colocar, mas acho o valor muito alto.;Não.;Não.
25/08/2025 14:54:22;Educação Infantil - Pré I, Ensino Fundamental - 6º ao 9º ano;5 anos ou mais;Excelente;Dentro das expectativas;Atende completamente;Muito bom;Muito boa;WhatsApp, Agenda escolar;Adequada;Sempre;Muito boa;Adequados;Muito boa;Muito bom;Rápida e eficiente;Sempre;Excelente;Atenção individualizada, Valores e princípios, Relacionamento família-escola, Localização;10;Já decidi renovar a matrícula;;Prioriza um ambiente seguro e acolhedor ;Inventir na infraestrutura ;Não ;Não 
25/08/2025 14:54:31;Educação Infantil - Pré II;Entre 2 a 4 anos;Excelente;Acima das expectativas;Atende completamente;Excelente;Excelente;WhatsApp, Agenda escolar, Reuniões presenciais, Telefone, Site da escola;Excessiva;Sempre;Muito boa;Adequados;Excelente;Excelente;Muito rápida e eficiente;Sempre;Excelente;Qualidade do ensino, Atenção individualizada, Valores e princípios, Relacionamento família-escola, Metodologia pedagógica, Tradição e credibilidade, Localização;10;Já decidi renovar a matrícula;;Aprendizado. ;Lousa ;;
25/08/2025 15:05:32;Ensino Fundamental - 2º ano;Entre 2 a 4 anos;Excelente;Muito acima das expectativas;Atende completamente;Excelente;Excelente;WhatsApp, Agenda escolar;Adequada;Sempre;Excelente;Muito adequados;Excelente;Excelente;Muito rápida e eficiente;Sempre;Muito bom;Qualidade do ensino, Atenção individualizada, Valores e princípios, Infraestrutura, Relacionamento família-escola, Metodologia pedagógica, Tradição e credibilidade, Atividades extracurriculares;10;Já decidi renovar a matrícula;;Acolhimento , a minha filha ama a escola, os profissionais que nela trabalham ;Ao meu ver a escola é maravilhosa ;Não , acho que está tudo perfeito ;Não 
25/08/2025 15:11:37;Ensino Fundamental - 1º ano;Entre 2 a 4 anos;Muito bom;Dentro das expectativas;É adequada;Muito bom;Regular;WhatsApp;Adequada;Na maioria das vezes;Muito boa;Adequados;Boa;Bom;Demorada;Na maioria das vezes;Bom;Qualidade do ensino, Valores e princípios, Infraestrutura, Relacionamento família-escola, Tradição e credibilidade, Atividades extracurriculares;10;Provavelmente vou renovar;;cuidado, atividades extracurriculares, ensino;A Comunicação no WhatsApp;Nao;Não 
25/08/2025 15:15:10;Ensino Fundamental - 3º ano;Entre 2 a 4 anos;Muito bom;Dentro das expectativas;É adequada;Muito bom;Muito boa;WhatsApp, Agenda escolar;Adequada;Sempre;Muito boa;Adequados;Muito boa;Muito bom;Adequada;Sempre;Muito bom;Valores e princípios, Relacionamento família-escola, Localização;9;Provavelmente vou renovar;;Tem valores e princípios morais;Questões como o relacionamento entre os alunos, palestras sobre bullying e diferenças entre as crianças... de repente com auxílio de um psicólogo.;Sim fazer palestras para unir mais as crianças.. mostrar que ser diferente não é ruim, faz parte... estimular a integração entre eles.;Não. Só isso mesmo. Muito obrigado a todos 
25/08/2025 15:24:20;Ensino Fundamental - 3º ano;Entre 2 a 4 anos;Excelente;Dentro das expectativas;Atende completamente;Excelente;Excelente;WhatsApp, Reuniões presenciais, Telefone, Recados via aluno;Adequada;Sempre;Boa;Adequados;Excelente;Excelente;Muito rápida e eficiente;Sempre;Bom;Qualidade do ensino, Atenção individualizada, Valores e princípios, Relacionamento família-escola;10;Já decidi renovar a matrícula;;O acompanhamento próximo dos alunos;Para mim se abrisse uma outra unidade em Barueri ;;Gosto muito do cuidado com as crianças e só tenho a agradecer 
25/08/2025 15:29:30;Educação Infantil - Maternal;Entre 2 a 4 anos;Muito bom;Dentro das expectativas;É adequada;Muito bom;Muito boa;WhatsApp, Agenda escolar, Telefone;Adequada;Na maioria das vezes;Muito boa;Adequados;Muito boa;Muito bom;Rápida e eficiente;Sempre;Muito bom;Qualidade do ensino, Atenção individualizada, Relacionamento família-escola;9;Provavelmente vou renovar;;Atenção individualizada e acolhimento.;Acredito que intensificar ações de conscientização, como, por exemplo, a feira de reciclagem, que foi uma ótima ação;;
25/08/2025 15:29:39;Ensino Fundamental - 4º ano;Entre 2 a 4 anos;Muito bom;Dentro das expectativas;Atende parcialmente;Bom;Precisa melhorar;WhatsApp;Adequada;Às vezes;Muito boa;Parcialmente adequados;Muito boa;Excelente;Adequada;Na maioria das vezes;Excelente;Valores e princípios;8;Ainda estou avaliando;Problemas específicos com professores;Questões de disciplinas ;Nas questão das transparecia em todos requesitos;Questão de uniforme, os alunos perde e não são encontrados ,poderia ser melhorado nesse quesito;
25/08/2025 15:31:33;Educação Infantil - Pré I, Ensino Fundamental - 1º ano;Entre 2 a 4 anos;Excelente;Acima das expectativas;Atende completamente;Excelente;Excelente;WhatsApp, Agenda escolar, Reuniões presenciais;Adequada;Sempre;Muito boa;Adequados;Muito boa;Excelente;Muito rápida e eficiente;Sempre;Muito bom;Qualidade do ensino, Atenção individualizada, Valores e princípios, Relacionamento família-escola, Metodologia pedagógica, Tradição e credibilidade, Atividades extracurriculares;10;Já decidi renovar a matrícula;;Acho que o ensino e a comunicação sobre o que acontece são excelentes. E as oficinas também são ótimas!;...;Se possível conceder um desconto diferenciado para os pais que tem mais de 1 filho matriculado na escola.;...
25/08/2025 15:35:38;Educação Infantil - Maternal;Entre 2 a 4 anos;Excelente;Muito acima das expectativas;Atende completamente;Excelente;Excelente;WhatsApp, Agenda escolar, Telefone;Excessiva;Sempre;Excelente;Adequados;Excelente;Excelente;Rápida e eficiente;Sempre;Excelente;Qualidade do ensino, Valores e princípios, Relacionamento família-escola;10;Já decidi renovar a matrícula;;Ensina e cuida muito bem da minha filha;Não tem oque melhorar, ela já é excelente ;;
25/08/2025 15:36:28;Educação Infantil - Pré II;Entre 2 a 4 anos;Excelente;Dentro das expectativas;Atende completamente;Muito bom;Excelente;WhatsApp, Recados via aluno;Adequada;Sempre;Boa;Parcialmente adequados;Boa;Excelente;Rápida e eficiente;Sempre;Bom;Qualidade do ensino, Valores e princípios, Relacionamento família-escola, Metodologia pedagógica;8;Ainda estou avaliando;Questões financeiras, Busca por escola com metodologia diferente;O ensino para as crianças é satisfatório, juntamente com as demais atividades culturais.;Poderia proporcionar um cardápio mais saudável com frutas ao invés de frituras e doces.;Poderia fornecer também programas focados no desenvolvimento de alunos com transtornos globais do desenvolvimento, como o autismo.;Nada
25/08/2025 15:37:35;Ensino Fundamental - 4º ano;5 anos ou mais;Excelente;Dentro das expectativas;Atende completamente;Muito bom;Excelente;WhatsApp, Agenda escolar;Adequada;Sempre;Muito boa;Adequados;Excelente;Excelente;Rápida e eficiente;Sempre;Excelente;Qualidade do ensino, Localização;10;Já decidi renovar a matrícula;;A forma “puxada” de trabalhar com alunos em relação a educação e aprendizado deles ;Nada em mente até o momento;Nas aulas de informática deveriam trabalhar com os alunos a questão de digitação para terem conhecimento e mais agilidade futuramente e não ficar brincando de jogos (coisa que não deixo Valentina fazer em casa);Não 
25/08/2025 15:42:18;Ensino Fundamental - 6º ao 9º ano;5 anos ou mais;Muito bom;Dentro das expectativas;Precisa de ajustes;Muito bom;Excelente;Agenda escolar, Reuniões presenciais;Adequada;Sempre;Muito boa;Adequados;Muito boa;Excelente;Rápida e eficiente;Sempre;Muito bom;Atenção individualizada, Relacionamento família-escola, Tradição e credibilidade, Localização;10;Provavelmente vou renovar;;Turma e quantidade de alunos por turma;a metodologia de ensino, lição de casa, menos conteudista;na minha opinião, a escola precisa de mais espaços alternativos para aula, como laboratório, salas mais ambientalizadas.;
25/08/2025 15:42:26;Ensino Fundamental - 2º ano;Entre 2 a 4 anos;Excelente;Acima das expectativas;Atende completamente;Excelente;Excelente;WhatsApp, Agenda escolar;Adequada;Sempre;Muito boa;Adequados;Excelente;Excelente;Rápida e eficiente;Sempre;Muito bom;Qualidade do ensino, Atenção individualizada, Valores e princípios, Relacionamento família-escola, Metodologia pedagógica, Localização;10;Já decidi renovar a matrícula;; ; ;;
25/08/2025 15:47:46;Educação Infantil - Pré II;Entre 2 a 4 anos;Excelente;Acima das expectativas;Atende completamente;Muito bom;Muito boa;WhatsApp, Reuniões presenciais, Telefone;Adequada;Sempre;Muito boa;Adequados;Muito boa;Muito bom;Rápida e eficiente;Sempre;Muito bom;Qualidade do ensino, Valores e princípios, Infraestrutura, Relacionamento família-escola, Localização;10;Já decidi renovar a matrícula;;O cuidado o respeito a responsabilidade que tem com cada criança. Um lugar onde consigo deixar meu filho despreocupada.;"O valor dos uniformes kkkk
E tira a taxa de rematrícula. ";A possibilidade de ampliar a escola.para ter o ensino médio.;No momento não . 
25/08/2025 15:47:48;Ensino Fundamental - 5º ano;Entre 2 a 4 anos;Excelente;Acima das expectativas;Atende completamente;Excelente;Excelente;WhatsApp, Agenda escolar, Reuniões presenciais, Telefone;Adequada;Na maioria das vezes;Boa;Adequados;Muito boa;Excelente;Muito rápida e eficiente;Sempre;Excelente;Qualidade do ensino, Atenção individualizada, Valores e princípios, Relacionamento família-escola, Metodologia pedagógica, Tradição e credibilidade, Atividades extracurriculares;10;Já decidi renovar a matrícula;;Tratamento com os alunos, material de ensino, projetos.;Infraestrutura.;Não.;Não.
